時間,設備,值
2024-10-19 11:16:38,SA-21/LED_LEVEL,10
2024-10-19 11:16:42,SA-21/LED_LEVEL,8
2024-10-19 11:16:42,SA-21/TEMP,33.13
2024-10-19 11:16:42,SA-21/LED_LEVEL,7
2024-10-19 11:16:43,SA-21/LED_LEVEL,6
2024-10-19 11:16:44,SA-21/LED_LEVEL,5
2024-10-19 11:16:45,SA-21/LED_LEVEL,4
2024-10-19 11:16:48,SA-21/TEMP,32.66
2024-10-19 11:16:52,SA-21/TEMP,33.13
2024-10-19 11:16:54,SA-21/TEMP,33.6
2024-10-19 11:17:08,SA-21/TEMP,33.13
2024-10-19 11:17:12,SA-21/TEMP,33.6
2024-10-19 11:17:14,SA-21/TEMP,32.66
2024-10-19 11:17:24,SA-21/TEMP,33.13
2024-10-19 11:17:26,SA-21/TEMP,32.66
2024-10-19 11:17:28,SA-21/TEMP,33.13
2024-10-19 11:17:30,SA-21/TEMP,32.66
2024-10-19 11:17:35,SA-21/TEMP,33.13
2024-10-19 11:17:38,SA-21/TEMP,32.66
2024-10-19 11:17:40,SA-21/TEMP,33.13
2024-10-19 11:17:43,SA-21/TEMP,32.66
2024-10-19 11:17:50,SA-21/TEMP,33.13
2024-10-19 11:17:54,SA-21/TEMP,32.66
2024-10-19 11:17:56,SA-21/TEMP,33.13
2024-10-19 11:18:04,SA-21/TEMP,32.66
2024-10-19 11:18:06,SA-21/TEMP,33.13
2024-10-19 11:18:28,SA-21/TEMP,32.7
2024-10-19 11:18:30,SA-21/TEMP,33.1
2024-10-19 11:18:34,SA-21/TEMP,32.7
2024-10-19 11:18:40,SA-21/TEMP,33.1
2024-10-19 11:18:42,SA-21/TEMP,33.6
2024-10-19 11:18:44,SA-21/TEMP,32.7
2024-10-19 11:18:46,SA-21/TEMP,33.1
2024-10-19 11:18:52,SA-21/TEMP,32.7
2024-10-19 11:18:54,SA-21/TEMP,33.1
2024-10-19 11:18:58,SA-21/TEMP,32.7
2024-10-19 11:19:00,SA-21/TEMP,33.1
2024-10-19 11:19:06,SA-21/TEMP,32.7
2024-10-19 11:19:12,SA-21/TEMP,33.1
2024-10-19 11:19:14,SA-21/TEMP,32.7
2024-10-19 11:19:24,SA-21/TEMP,33.1
2024-10-19 11:20:55,SA-21/LED_LEVEL,4
2024-10-19 11:20:56,SA-21/TEMP,33.60
2024-10-19 11:20:58,SA-21/TEMP,32.70
2024-10-19 11:21:00,SA-21/TEMP,33.10
2024-10-19 11:21:10,SA-21/TEMP,32.70
2024-10-19 11:21:12,SA-21/TEMP,33.10
2024-10-19 11:21:25,SA-21/TEMP,32.66
2024-10-19 11:21:31,SA-21/TEMP,33.13
2024-10-19 11:21:33,SA-21/TEMP,32.66
2024-10-19 11:21:37,SA-21/TEMP,33.13
2024-10-19 11:21:41,SA-21/TEMP,32.66
2024-10-19 11:21:43,SA-21/TEMP,33.13
2024-10-19 11:21:47,SA-21/TEMP,32.66
2024-10-19 11:21:53,SA-21/TEMP,33.60
2024-10-19 11:21:55,SA-21/TEMP,32.66
2024-10-19 11:21:59,SA-21/TEMP,33.13
2024-10-19 11:22:01,SA-21/TEMP,32.66
2024-10-19 11:22:03,SA-21/TEMP,33.13
2024-10-19 11:22:05,SA-21/TEMP,32.66
2024-10-19 11:22:17,SA-21/TEMP,33.13
2024-10-19 11:22:21,SA-21/TEMP,32.66
2024-10-19 11:22:24,SA-21/TEMP,33.13
2024-10-19 11:22:25,SA-21/TEMP,32.66
2024-10-19 11:22:31,SA-21/TEMP,33.13
2024-10-19 11:22:33,SA-21/TEMP,32.66
2024-10-19 11:22:43,SA-21/TEMP,33.13
2024-10-19 11:22:45,SA-21/TEMP,32.66
2024-10-19 11:22:55,SA-21/TEMP,33.13
2024-10-19 11:22:59,SA-21/TEMP,32.66
2024-10-19 11:23:09,SA-21/TEMP,33.13
2024-10-19 11:23:11,SA-21/TEMP,32.66
2024-10-19 11:23:13,SA-21/TEMP,33.13
2024-10-19 11:23:15,SA-21/TEMP,32.66
2024-10-19 11:23:47,SA-21/TEMP,33.13
2024-10-19 11:23:49,SA-21/TEMP,32.66
