時間,設備,值
2024-10-12 16:08:53,SA-21/LED_LEVEL,3
2024-10-12 16:09:05,SA-21/LED_LEVEL,6
2024-10-12 16:09:05,SA-21/LED_LEVEL,7
2024-10-12 16:09:07,SA-21/LED_LEVEL,5
2024-10-12 16:09:07,SA-21/LED_LEVEL,4
2024-10-12 16:09:09,SA-21/LED_LEVEL,3
2024-10-12 16:09:09,SA-21/LED_LEVEL,2
2024-10-12 16:09:10,SA-21/LED_LEVEL,1
2024-10-12 16:09:24,SA-21/LED_LEVEL,2
2024-10-12 16:09:25,SA-21/LED_LEVEL,3
2024-10-12 16:09:27,SA-21/LED_LEVEL,4
2024-10-12 16:16:57,SA-21/LED_LEVEL,4
2024-10-12 16:17:19,SA-21/LED_LEVEL,4
2024-10-12 16:17:21,SA-21/TEMP,32.66213
2024-10-12 16:17:24,SA-21/LED_LEVEL,5
2024-10-12 16:17:25,SA-21/LED_LEVEL,6
2024-10-12 16:17:27,SA-21/LED_LEVEL,5
2024-10-12 16:17:27,SA-21/LED_LEVEL,4
2024-10-12 16:17:28,SA-21/LED_LEVEL,5
2024-10-12 16:17:33,SA-21/TEMP,33.13031
2024-10-12 16:17:45,SA-21/TEMP,32.66213
2024-10-12 16:17:47,SA-21/TEMP,33.13031
2024-10-12 16:17:49,SA-21/TEMP,33.59845
2024-10-12 16:17:49,SA-21/LED_LEVEL,8
2024-10-12 16:17:49,SA-21/LED_LEVEL,9
2024-10-12 16:17:51,SA-21/TEMP,33.13031
2024-10-12 16:17:53,SA-21/TEMP,32.66213
2024-10-12 16:17:57,SA-21/TEMP,33.13031
