時間,設備,值
2024-10-26 09:28:11,SA-21/LED_LEVEL,5
2024-10-26 09:28:13,SA-21/LED_LEVEL,4
2024-10-26 09:28:21,SA-21/LIGHT,0
2024-10-26 09:28:23,SA-21/LIGHT,1
2024-10-26 09:28:25,SA-21/TEMP,30.32
2024-10-26 09:28:27,SA-21/TEMP,30.79
2024-10-26 09:28:27,SA-21/LIGHT,0
2024-10-26 09:28:31,SA-21/LIGHT,1
2024-10-26 09:29:01,SA-21/TEMP,31.26
2024-10-26 09:29:03,SA-21/TEMP,30.79
2024-10-26 09:29:15,SA-21/TEMP,31.26
2024-10-26 09:29:17,SA-21/TEMP,30.79
2024-10-26 09:29:37,SA-21/TEMP,31.26
2024-10-26 09:29:39,SA-21/TEMP,30.79
2024-10-26 09:29:41,SA-21/TEMP,31.26
2024-10-26 09:29:43,SA-21/TEMP,30.79
2024-10-26 09:29:45,SA-21/TEMP,31.26
2024-10-26 09:29:47,SA-21/TEMP,30.79
2024-10-26 09:29:57,SA-21/TEMP,31.26
2024-10-26 09:30:01,SA-21/TEMP,30.79
2024-10-26 09:30:05,SA-21/TEMP,31.26
2024-10-26 09:30:09,SA-21/TEMP,30.79
2024-10-26 09:30:21,SA-21/TEMP,31.26
2024-10-26 09:30:25,SA-21/TEMP,30.79
2024-10-26 09:30:25,SA-21/TEMP,31.26
2024-10-26 09:30:41,SA-21/TEMP,30.79
2024-10-26 09:30:45,SA-21/TEMP,31.26
2024-10-26 09:30:49,SA-21/TEMP,30.79
2024-10-26 09:30:51,SA-21/TEMP,31.26
2024-10-26 09:31:53,SA-21/TEMP,30.79
2024-10-26 09:31:59,SA-21/TEMP,31.26
2024-10-26 09:32:01,SA-21/TEMP,30.79
2024-10-26 09:32:33,SA-21/TEMP,30.32
2024-10-26 09:32:35,SA-21/TEMP,30.79
2024-10-26 09:33:09,SA-21/TEMP,30.32
2024-10-26 09:33:11,SA-21/TEMP,30.79
2024-10-26 09:33:21,SA-21/TEMP,30.32
2024-10-26 09:33:25,SA-21/TEMP,30.79
2024-10-26 09:33:27,SA-21/TEMP,30.32
2024-10-26 09:33:33,SA-21/TEMP,30.79
2024-10-26 09:33:35,SA-21/TEMP,30.32
2024-10-26 09:33:37,SA-21/TEMP,30.79
2024-10-26 09:33:39,SA-21/TEMP,30.32
2024-10-26 09:33:43,SA-21/TEMP,30.79
2024-10-26 09:33:47,SA-21/TEMP,30.32
2024-10-26 09:33:49,SA-21/TEMP,30.79
2024-10-26 09:33:53,SA-21/TEMP,30.32
2024-10-26 09:33:59,SA-21/TEMP,30.79
2024-10-26 09:34:17,SA-21/TEMP,30.32
2024-10-26 09:34:19,SA-21/TEMP,30.79
2024-10-26 09:34:21,SA-21/TEMP,30.32
2024-10-26 09:34:27,SA-21/TEMP,30.79
2024-10-26 09:34:29,SA-21/TEMP,30.32
2024-10-26 09:36:17,SA-21/TEMP,30.79
2024-10-26 09:36:19,SA-21/TEMP,30.32
2024-10-26 09:36:27,SA-21/TEMP,30.79
2024-10-26 09:36:31,SA-21/TEMP,30.32
2024-10-26 09:36:35,SA-21/TEMP,30.79
2024-10-26 09:36:41,SA-21/TEMP,30.32
2024-10-26 09:36:45,SA-21/TEMP,30.79
2024-10-26 09:36:59,SA-21/TEMP,30.32
2024-10-26 09:37:01,SA-21/TEMP,30.79
2024-10-26 09:37:51,SA-21/TEMP,31.26
2024-10-26 09:37:53,SA-21/TEMP,30.79
2024-10-26 09:38:11,SA-21/TEMP,31.26
2024-10-26 09:38:17,SA-21/TEMP,30.79
2024-10-26 09:38:17,SA-21/TEMP,31.26
2024-10-26 09:38:19,SA-21/TEMP,30.79
2024-10-26 09:38:21,SA-21/TEMP,31.26
2024-10-26 09:38:23,SA-21/TEMP,30.79
2024-10-26 09:38:31,SA-21/TEMP,31.26
2024-10-26 09:38:33,SA-21/TEMP,30.79
2024-10-26 09:38:35,SA-21/TEMP,31.26
2024-10-26 09:38:39,SA-21/TEMP,30.79
2024-10-26 09:38:41,SA-21/TEMP,31.26
2024-10-26 09:38:43,SA-21/TEMP,30.79
2024-10-26 09:38:45,SA-21/TEMP,31.26
2024-10-26 09:38:47,SA-21/TEMP,30.79
2024-10-26 09:38:51,SA-21/TEMP,31.26
2024-10-26 09:38:55,SA-21/TEMP,30.79
2024-10-26 09:38:57,SA-21/TEMP,31.26
2024-10-26 09:38:59,SA-21/TEMP,30.79
2024-10-26 09:39:01,SA-21/TEMP,31.26
2024-10-26 09:39:23,SA-21/TEMP,30.79
2024-10-26 09:39:25,SA-21/TEMP,31.26
2024-10-26 09:41:35,SA-21/TEMP,30.79
