時間,設備,值
2024-10-26 09:41:37,SA-21/TEMP,31.26
2024-10-26 09:41:41,SA-21/TEMP,30.79
2024-10-26 09:41:43,SA-21/TEMP,31.26
2024-10-26 09:41:45,SA-21/TEMP,30.79
2024-10-26 09:41:47,SA-21/TEMP,31.26
2024-10-26 09:41:49,SA-21/TEMP,30.79
2024-10-26 09:41:51,SA-21/TEMP,31.26
2024-10-26 09:42:05,SA-21/TEMP,30.79
2024-10-26 09:42:07,SA-21/TEMP,31.26
2024-10-26 09:42:09,SA-21/TEMP,30.79
2024-10-26 09:42:11,SA-21/TEMP,31.26
2024-10-26 09:42:15,SA-21/TEMP,30.79
2024-10-26 09:42:19,SA-21/TEMP,31.26
2024-10-26 09:42:21,SA-21/TEMP,30.79
2024-10-26 09:42:47,SA-21/TEMP,31.26
2024-10-26 09:42:49,SA-21/TEMP,30.79
2024-10-26 09:42:51,SA-21/TEMP,31.26
2024-10-26 09:42:53,SA-21/TEMP,30.79
2024-10-26 09:43:19,SA-21/TEMP,30.32
2024-10-26 09:43:21,SA-21/TEMP,30.79
2024-10-26 09:43:23,SA-21/TEMP,30.32
2024-10-26 09:43:25,SA-21/TEMP,30.79
2024-10-26 09:43:37,SA-21/TEMP,30.32
2024-10-26 09:43:39,SA-21/TEMP,30.79
2024-10-26 09:43:51,SA-21/TEMP,30.32
2024-10-26 09:43:53,SA-21/TEMP,30.79
2024-10-26 09:43:55,SA-21/TEMP,30.32
2024-10-26 09:43:59,SA-21/TEMP,30.79
2024-10-26 09:44:01,SA-21/TEMP,30.32
2024-10-26 09:44:13,SA-21/TEMP,30.79
2024-10-26 09:44:23,SA-21/TEMP,30.32
2024-10-26 09:44:31,SA-21/TEMP,30.79
2024-10-26 09:44:33,SA-21/TEMP,30.32
2024-10-26 09:44:43,SA-21/TEMP,30.79
2024-10-26 09:44:45,SA-21/TEMP,30.32
2024-10-26 09:44:47,SA-21/TEMP,30.79
2024-10-26 09:44:49,SA-21/TEMP,30.32
2024-10-26 09:44:51,SA-21/TEMP,30.79
2024-10-26 09:44:55,SA-21/TEMP,30.32
2024-10-26 09:44:57,SA-21/TEMP,30.79
2024-10-26 09:45:09,SA-21/TEMP,30.32
2024-10-26 09:45:13,SA-21/TEMP,30.79
2024-10-26 09:45:19,SA-21/TEMP,30.32
2024-10-26 09:45:30,SA-21/TEMP,30.79
2024-10-26 09:45:31,SA-21/TEMP,30.32
2024-10-26 09:45:45,SA-21/TEMP,30.79
2024-10-26 09:45:47,SA-21/TEMP,30.32
2024-10-26 09:45:53,SA-21/TEMP,30.79
2024-10-26 09:45:55,SA-21/TEMP,30.32
2024-10-26 09:45:59,SA-21/TEMP,30.79
2024-10-26 09:46:01,SA-21/TEMP,30.32
2024-10-26 09:46:07,SA-21/TEMP,30.79
2024-10-26 09:47:23,SA-21/TEMP,31.26
2024-10-26 09:47:25,SA-21/TEMP,30.79
2024-10-26 09:47:27,SA-21/TEMP,31.26
2024-10-26 09:47:29,SA-21/TEMP,30.79
2024-10-26 09:47:31,SA-21/TEMP,31.26
2024-10-26 09:47:33,SA-21/TEMP,30.79
2024-10-26 09:47:35,SA-21/TEMP,31.26
2024-10-26 09:47:39,SA-21/TEMP,30.79
2024-10-26 09:47:47,SA-21/TEMP,31.26
2024-10-26 09:47:51,SA-21/TEMP,30.79
2024-10-26 09:47:53,SA-21/TEMP,31.26
2024-10-26 09:48:01,SA-21/TEMP,30.79
2024-10-26 09:48:03,SA-21/TEMP,31.26
2024-10-26 09:48:07,SA-21/TEMP,30.79
2024-10-26 09:48:11,SA-21/TEMP,31.26
2024-10-26 09:48:51,SA-21/TEMP,30.79
2024-10-26 09:48:53,SA-21/TEMP,31.26
2024-10-26 09:49:01,SA-21/TEMP,31.73
2024-10-26 09:49:03,SA-21/TEMP,31.26
2024-10-26 09:50:07,SA-21/TEMP,31.73
2024-10-26 09:50:09,SA-21/TEMP,31.26
2024-10-26 09:50:17,SA-21/TEMP,31.73
2024-10-26 09:50:19,SA-21/TEMP,31.26
2024-10-26 09:50:29,SA-21/TEMP,30.79
2024-10-26 09:50:31,SA-21/TEMP,31.26
2024-10-26 09:50:37,SA-21/TEMP,31.73
2024-10-26 09:50:39,SA-21/TEMP,31.26
2024-10-26 09:51:01,SA-21/TEMP,30.79
2024-10-26 09:51:07,SA-21/TEMP,31.26
2024-10-26 09:51:11,SA-21/TEMP,30.79
2024-10-26 09:51:13,SA-21/TEMP,31.26
2024-10-26 09:51:15,SA-21/TEMP,30.79
2024-10-26 09:51:23,SA-21/TEMP,31.26
2024-10-26 09:51:26,SA-21/TEMP,30.79
2024-10-26 09:51:31,SA-21/TEMP,31.26
2024-10-26 09:51:33,SA-21/TEMP,30.79
2024-10-26 09:52:01,SA-21/TEMP,31.26
2024-10-26 09:52:03,SA-21/TEMP,30.79
2024-10-26 09:52:54,SA-21/TEMP,30.32
2024-10-26 09:52:55,SA-21/TEMP,30.79
2024-10-26 09:53:09,SA-21/TEMP,30.32
2024-10-26 09:53:13,SA-21/TEMP,30.79
2024-10-26 09:53:15,SA-21/TEMP,30.32
2024-10-26 09:53:25,SA-21/TEMP,30.79
2024-10-26 09:53:27,SA-21/TEMP,30.32
2024-10-26 09:53:31,SA-21/TEMP,30.79
2024-10-26 09:53:41,SA-21/TEMP,30.32
2024-10-26 09:53:47,SA-21/TEMP,30.79
2024-10-26 09:53:47,SA-21/TEMP,30.32
2024-10-26 09:53:51,SA-21/TEMP,30.79
2024-10-26 09:53:56,SA-21/TEMP,30.32
2024-10-26 09:53:56,SA-21/TEMP,30.79
2024-10-26 09:53:57,SA-21/TEMP,30.32
2024-10-26 15:29:15,SA-21/TEMP,30.79
2024-10-26 15:29:16,SA-21/LIGHT,1
2024-10-26 15:29:16,SA-21/LED_LEVEL,5
2024-10-26 15:29:18,SA-21/TEMP,31.26
2024-10-26 15:29:20,SA-21/TEMP,30.79
2024-10-26 15:29:24,SA-21/LED_LEVEL,7
2024-10-26 15:29:24,SA-21/LED_LEVEL,8
2024-10-26 15:29:26,SA-21/TEMP,31.26
2024-10-26 15:29:28,SA-21/TEMP,30.79
2024-10-26 15:29:38,SA-21/LED_LEVEL,10
2024-10-26 15:29:39,SA-21/LED_LEVEL,8
2024-10-26 15:29:40,SA-21/LED_LEVEL,7
2024-10-26 15:29:40,SA-21/LED_LEVEL,6
2024-10-26 15:29:46,SA-21/TEMP,30.32
2024-10-26 15:29:48,SA-21/TEMP,30.79
2024-10-26 15:30:12,SA-21/LED_LEVEL,7
2024-10-26 15:30:13,SA-21/LED_LEVEL,8
2024-10-26 15:30:14,SA-21/LED_LEVEL,9
2024-10-26 15:30:18,SA-21/LED_LEVEL,7
2024-10-26 15:30:18,SA-21/LED_LEVEL,6
2024-10-26 15:30:18,SA-21/LED_LEVEL,5
2024-10-26 15:30:20,SA-21/LED_LEVEL,4
2024-10-26 15:30:20,SA-21/LED_LEVEL,3
2024-10-26 15:30:21,SA-21/LED_LEVEL,2
2024-10-26 15:30:22,SA-21/LED_LEVEL,1
2024-10-26 15:30:24,SA-21/LED_LEVEL,2
2024-10-26 15:30:28,SA-21/TEMP,31.26
2024-10-26 15:30:30,SA-21/TEMP,30.79
2024-10-26 15:30:32,SA-21/TEMP,31.26
2024-10-26 15:30:34,SA-21/TEMP,30.79
2024-10-26 15:30:38,SA-21/TEMP,31.26
2024-10-26 15:30:40,SA-21/TEMP,30.79
2024-10-26 15:30:46,SA-21/TEMP,31.26
2024-10-26 15:30:48,SA-21/LED_LEVEL,1
2024-10-26 15:30:49,SA-21/LED_LEVEL,0
2024-10-26 15:30:51,SA-21/LED_LEVEL,2
2024-10-26 15:30:51,SA-21/LED_LEVEL,3
2024-10-26 15:30:52,SA-21/LED_LEVEL,5
2024-10-26 15:30:52,SA-21/LED_LEVEL,7
2024-10-26 15:30:53,SA-21/LED_LEVEL,8
2024-10-26 15:30:55,SA-21/LED_LEVEL,9
2024-10-26 15:31:14,SA-21/TEMP,31.73
2024-10-26 15:31:16,SA-21/TEMP,31.26
2024-10-26 15:31:32,SA-21/TEMP,31.73
2024-10-26 15:31:34,SA-21/TEMP,31.26
2024-10-26 15:31:44,SA-21/TEMP,31.73
2024-10-26 15:31:50,SA-21/TEMP,31.26
2024-10-26 15:32:02,SA-21/TEMP,31.73
2024-10-26 15:32:08,SA-21/TEMP,31.26
2024-10-26 15:32:10,SA-21/TEMP,31.73
2024-10-26 15:32:17,SA-21/LED_LEVEL,8
2024-10-26 15:32:18,SA-21/LED_LEVEL,5
2024-10-26 15:32:19,SA-21/LED_LEVEL,4
2024-10-26 15:32:19,SA-21/LED_LEVEL,3
2024-10-26 15:32:21,SA-21/LED_LEVEL,5
2024-10-26 15:32:21,SA-21/LED_LEVEL,7
2024-10-26 15:32:38,SA-21/TEMP,31.26
2024-10-26 15:32:40,SA-21/TEMP,31.73
2024-10-26 15:32:55,SA-21/LED_LEVEL,9
2024-10-26 15:32:55,SA-21/LED_LEVEL,10
2024-10-26 15:32:59,SA-21/LED_LEVEL,8
2024-10-26 15:32:59,SA-21/LED_LEVEL,7
2024-10-26 15:32:59,SA-21/LED_LEVEL,6
2024-10-26 15:33:00,SA-21/LED_LEVEL,5
2024-10-26 15:33:00,SA-21/LED_LEVEL,4
2024-10-26 15:33:15,SA-21/LED_LEVEL,5
2024-10-26 15:33:16,SA-21/LED_LEVEL,8
2024-10-26 15:33:16,SA-21/LED_LEVEL,9
2024-10-26 15:33:19,SA-21/LED_LEVEL,8
2024-10-26 15:33:20,SA-21/LED_LEVEL,7
2024-10-26 15:33:20,SA-21/LED_LEVEL,6
2024-10-26 15:33:35,SA-21/TEMP,32.19
2024-10-26 15:33:35,SA-21/LED_LEVEL,8
2024-10-26 15:33:35,SA-21/LED_LEVEL,9
2024-10-26 15:33:35,SA-21/LED_LEVEL,10
2024-10-26 15:33:36,SA-21/TEMP,31.73
2024-10-26 15:33:38,SA-21/LED_LEVEL,8
2024-10-26 15:33:39,SA-21/LED_LEVEL,7
2024-10-26 15:33:39,SA-21/TEMP,32.19
2024-10-26 15:33:39,SA-21/LED_LEVEL,6
2024-10-26 15:33:40,SA-21/TEMP,31.73
2024-10-26 15:33:42,SA-21/TEMP,32.19
2024-10-26 15:33:48,SA-21/TEMP,31.73
2024-10-26 15:33:56,SA-21/TEMP,32.19
2024-10-26 15:33:58,SA-21/TEMP,31.73
2024-10-26 15:34:04,SA-21/TEMP,32.19
2024-10-26 15:34:06,SA-21/TEMP,31.73
2024-10-26 15:34:12,SA-21/TEMP,32.19
2024-10-26 15:34:14,SA-21/TEMP,31.73
2024-10-26 15:34:32,SA-21/TEMP,32.19
2024-10-26 15:34:34,SA-21/TEMP,31.73
2024-10-26 15:34:46,SA-21/TEMP,32.19
2024-10-26 15:34:48,SA-21/TEMP,31.73
2024-10-26 15:34:52,SA-21/TEMP,32.19
2024-10-26 15:34:52,SA-21/LED_LEVEL,7
2024-10-26 15:34:53,SA-21/LED_LEVEL,9
2024-10-26 15:34:53,SA-21/LED_LEVEL,10
2024-10-26 15:34:54,SA-21/TEMP,31.73
2024-10-26 15:34:56,SA-21/LED_LEVEL,9
2024-10-26 15:34:57,SA-21/LED_LEVEL,7
2024-10-26 15:34:57,SA-21/LED_LEVEL,6
2024-10-26 15:34:58,SA-21/LED_LEVEL,5
2024-10-26 15:35:00,SA-21/LED_LEVEL,4
2024-10-26 15:35:24,SA-21/LED_LEVEL,6
2024-10-26 15:35:25,SA-21/LED_LEVEL,7
2024-10-26 15:35:26,SA-21/LED_LEVEL,8
2024-10-26 15:35:34,SA-21/TEMP,31.26
2024-10-26 15:35:36,SA-21/TEMP,31.73
2024-10-26 15:35:40,SA-21/TEMP,31.26
2024-10-26 15:35:42,SA-21/TEMP,31.73
2024-10-26 15:35:46,SA-21/TEMP,31.26
2024-10-26 15:35:48,SA-21/TEMP,31.73
2024-10-26 15:35:56,SA-21/LED_LEVEL,6
2024-10-26 15:35:56,SA-21/TEMP,31.26
2024-10-26 15:35:56,SA-21/LED_LEVEL,5
2024-10-26 15:35:57,SA-21/LED_LEVEL,4
2024-10-26 15:35:59,SA-21/LED_LEVEL,3
2024-10-26 15:36:00,SA-21/LED_LEVEL,4
2024-10-26 15:36:01,SA-21/LED_LEVEL,5
2024-10-26 15:36:01,SA-21/LED_LEVEL,4
2024-10-26 15:36:02,SA-21/LED_LEVEL,3
2024-10-26 15:36:02,SA-21/LED_LEVEL,4
2024-10-26 15:36:03,SA-21/LED_LEVEL,5
2024-10-26 15:36:03,SA-21/LED_LEVEL,7
2024-10-26 15:36:05,SA-21/LED_LEVEL,8
2024-10-26 15:36:05,SA-21/LED_LEVEL,9
2024-10-26 15:36:30,SA-21/TEMP,30.79
2024-10-26 15:36:32,SA-21/TEMP,31.26
2024-10-26 15:36:36,SA-21/TEMP,30.79
2024-10-26 15:36:38,SA-21/TEMP,31.26
2024-10-26 15:36:40,SA-21/TEMP,30.79
2024-10-26 15:36:42,SA-21/TEMP,31.26
2024-10-26 15:36:48,SA-21/TEMP,30.79
2024-10-26 15:36:50,SA-21/TEMP,31.26
2024-10-26 15:36:52,SA-21/TEMP,30.79
2024-10-26 15:36:56,SA-21/TEMP,31.26
2024-10-26 15:36:59,SA-21/TEMP,30.79
2024-10-26 15:37:00,SA-21/TEMP,31.26
2024-10-26 15:37:02,SA-21/TEMP,30.79
2024-10-26 15:37:04,SA-21/TEMP,31.26
2024-10-26 15:37:06,SA-21/TEMP,30.79
2024-10-26 15:37:16,SA-21/TEMP,31.26
2024-10-26 15:37:20,SA-21/LED_LEVEL,10
2024-10-26 15:37:23,SA-21/LED_LEVEL,8
2024-10-26 15:37:23,SA-21/LED_LEVEL,6
2024-10-26 15:37:26,SA-21/TEMP,30.79
2024-10-26 15:37:34,SA-21/TEMP,31.26
2024-10-26 15:37:36,SA-21/TEMP,30.79
2024-10-26 15:37:42,SA-21/TEMP,31.26
2024-10-26 15:37:44,SA-21/TEMP,30.79
2024-10-26 15:37:56,SA-21/TEMP,31.26
2024-10-26 15:38:02,SA-21/TEMP,30.79
2024-10-26 15:38:05,SA-21/TEMP,31.26
2024-10-26 15:38:06,SA-21/TEMP,30.79
2024-10-26 15:38:23,SA-21/TEMP,31.26
2024-10-26 15:38:24,SA-21/TEMP,30.79
2024-10-26 15:42:19,SA-21/TEMP,31.73
2024-10-26 15:42:23,SA-21/LED_LEVEL,7
2024-10-26 15:42:23,SA-21/LED_LEVEL,8
2024-10-26 15:42:23,SA-21/LED_LEVEL,9
2024-10-26 15:43:07,SA-21/TEMP,32.19
2024-10-26 15:43:09,SA-21/TEMP,31.73
2024-10-26 15:43:29,SA-21/TEMP,32.19
2024-10-26 15:43:31,SA-21/TEMP,31.73
2024-10-26 15:43:37,SA-21/TEMP,32.19
2024-10-26 15:43:39,SA-21/TEMP,31.73
2024-10-26 15:43:41,SA-21/TEMP,32.19
2024-10-26 15:43:45,SA-21/TEMP,31.73
2024-10-26 15:43:47,SA-21/TEMP,32.19
2024-10-26 15:43:51,SA-21/TEMP,31.73
2024-10-26 15:43:57,SA-21/TEMP,32.19
2024-10-26 15:43:59,SA-21/TEMP,31.73
2024-10-26 15:44:11,SA-21/TEMP,31.26
2024-10-26 15:44:13,SA-21/TEMP,31.73
2024-10-26 15:44:35,SA-21/TEMP,31.26
2024-10-26 15:45:24,SA-21/LED_LEVEL,10
2024-10-26 15:45:25,SA-21/TEMP,31.73
2024-10-26 15:45:26,SA-21/LED_LEVEL,9
2024-10-26 15:45:27,SA-21/LED_LEVEL,7
2024-10-26 15:45:27,SA-21/TEMP,31.26
2024-10-26 15:45:28,SA-21/LED_LEVEL,6
